,type,userId,caseNum,Meeting type,environment,windowMode,center position,distance,transparency,theta,phi,label(81-99),visual angle,favorite
100,1,7,2,2,low,0,"[0.5180000066757202, -0.4169999957084656, 0.6840000152587891]",0.9539753792,1,0.9226332516,2.023188369,9,0.1369162499,1
101,0,7,2,2,low,0,"[-0.3112225830554962, -0.3880014419555664, 0.7187032103538513]",0.8740359945,1,1.979451715,2.030764172,7,0.3363696006,1
102,1,7,2,2,low,1,"[0.3021705746650696, -0.4101686477661133, 0.7475438714027405]",0.9046365101,1,1.186659171,2.041380608,9,0.1437163476,0
103,0,7,2,2,low,1,"[-0.24939154088497162, -0.3358674645423889, 0.6465988159179688]",0.7701253944,1,1.938912478,2.022079372,7,0.3184147326,0
104,1,7,3,1,high,1,"[0.31200000643730164, -0.35854172706604004, 0.5569999814033508]",0.7322193342,1,1.06019865,2.082501115,9,0.221868348,0
105,0,7,3,1,high,1,"[-0.22300000488758087, -0.34777072072029114, 0.5049999952316284]",0.6524557238,1,1.986629648,2.132959976,7,0.3698922564,0
106,1,7,3,1,high,0,"[0.23331597447395325, -0.22640204429626465, 0.6029490828514099]",0.6850122817,1,1.20158336,1.907638107,9,0.2310921743,1
107,0,7,3,1,high,0,"[-0.31076759099960327, -0.2550605535507202, 0.5072235465049744]",0.6472311084,1,2.120489902,1.975862484,7,0.3797980955,1
108,1,7,4,2,high,0,"[0.2992449402809143, -0.3095629811286926, 0.5775298476219177]",0.7203592843,1,1.092737307,2.014994656,9,0.2164437014,1
109,0,7,4,2,high,0,"[-0.15637364983558655, -0.333683580160141, 0.5070320963859558]",0.6268006037,1,1.869950533,2.132182367,7,0.3849134517,1
110,1,7,4,2,high,1,"[0.46945464611053467, -0.32822370529174805, 0.5551024675369263]",0.7976573293,1,0.8687992222,1.994878681,9,0.2794984982,0
111,0,7,4,2,high,1,"[-0.16609346866607666, -0.2634078562259674, 0.5010831356048584]",0.5899619037,1,1.890867941,2.033627074,7,0.4952789034,0
112,1,9,1,1,low,0,"[0.44438260793685913, -0.23842549324035645, 0.7215440273284912]",0.8803115366,1,1.018784047,1.845064128,9,0.2575797566,1
113,0,9,1,1,low,0,"[0.046049173921346664, -0.24236822128295898, 0.718822717666626]",0.7599795922,1,1.506821812,1.895379886,8,0.3043940196,1
114,1,9,1,1,low,1,"[0.11446265876293182, -0.308403879404068, 0.5863595604896545]",0.67233339,1,1.378011721,2.047335604,9,0.1088278711,0
115,0,9,1,1,low,1,"[-0.040428001433610916, -0.46508413553237915, 0.5230880379676819]",0.7011125244,1,1.647930173,2.296085191,8,0.3225194608,0
116,1,9,2,2,low,0,"[0.2308836579322815, -0.1978358030319214, 0.6940230131149292]",0.7577032474,1,1.249638971,1.834957179,9,0.2851144459,1
117,0,9,2,2,low,0,"[-0.10921650379896164, -0.200140118598938, 0.6899932026863098]",0.7266876437,1,1.727780266,1.849816898,8,0.3411450852,1
118,1,9,2,2,low,1,"[-0.05765340104699135, -0.24279391765594482, 0.6310203075408936]",0.6785716098,1,1.66190873,1.936708756,8,0.3173619017,0
119,0,9,2,2,low,1,"[-0.03572426736354828, -0.46192264556884766, 0.5228230953216553]",0.6985647735,1,1.639019833,2.293273847,8,0.3050941255,0
120,1,9,3,1,high,1,"[0.11446265876293182, -0.308403879404068, 0.5863595604896545]",0.67233339,1,1.378011721,2.047335604,9,0.1088278711,0
121,0,9,3,1,high,1,"[-0.040428001433610916, -0.46508413553237915, 0.5230880379676819]",0.7011125244,1,1.647930173,2.296085191,8,0.3225194608,0
122,1,9,3,1,high,0,"[0.37993812561035156, -0.48276031017303467, 0.6330596804618835]",0.8821423102,1,1.030257994,2.149882099,9,0.2562923713,1
123,0,9,3,1,high,0,"[-0.03806344419717789, -0.4750504493713379, 0.6546459794044495]",0.8097426218,0.9821162224,1.628874492,2.197735106,8,0.3329446491,1
124,1,9,4,2,high,0,"[0.021288776770234108, -0.36841869354248047, 0.6974564790725708]",0.7890697599,1,1.540282353,2.056581189,8,0.2971245448,1
125,0,9,4,2,high,0,"[0.03259669989347458, -0.6071615219116211, 0.5598364472389221]",0.826513464,0.9821162224,1.512636594,2.395881721,8,0.3306280758,1
126,1,9,4,2,high,1,"[-0.05470319092273712, -0.14257243275642395, 0.8467379808425903]",0.8603978997,1,1.635311296,1.737269413,8,0.2621735869,0
127,0,9,4,2,high,1,"[-0.07889334112405777, -0.4328146278858185, 0.7757292985916138]",0.8918007659,1,1.672149995,2.07753299,8,0.3971174085,0
